

=======================================================
TABLA RESUMEN DE RESULTADOS
=======================================================

Query ID   | Precision  | Recall     | AP         | Relevantes | Recuperados  | Coincidencias
36206      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
36304      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
36374      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
36384      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
36411      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
36467      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
36511      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
36515      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
36593      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
36656      | 0.0500      | 1.0000      | 0.2000      | 1          | 20           | 1           
36764      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
36778      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
36845      | 0.0500      | 1.0000      | 0.2000      | 1          | 20           | 1           
36994      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
37063      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
37090      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
37138      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
37247      | 0.0500      | 0.3333      | 0.0667      | 3          | 20           | 1           
37252      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
37473      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
37515      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
37590      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
37648      | 0.0500      | 0.5000      | 0.0500      | 2          | 20           | 1           
37660      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
37662      | 0.1000      | 1.0000      | 1.0000      | 2          | 20           | 2           
37679      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
37697      | 0.0500      | 0.5000      | 0.1250      | 2          | 20           | 1           
37772      | 0.0500      | 1.0000      | 0.1667      | 1          | 20           | 1           
37889      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
38037      | 0.0500      | 0.5000      | 0.2500      | 2          | 20           | 1           
38090      | 0.0500      | 1.0000      | 0.2500      | 1          | 20           | 1           
38141      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
38240      | 0.0500      | 0.5000      | 0.0357      | 2          | 20           | 1           
38299      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
38352      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
38410      | 0.0500      | 0.5000      | 0.5000      | 2          | 20           | 1           
38496      | 0.0500      | 1.0000      | 0.1111      | 1          | 20           | 1           
38554      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
38565      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
38609      | 0.0500      | 1.0000      | 0.2000      | 1          | 20           | 1           
38630      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
38783      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
38818      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
38899      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
38929      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
38964      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
